SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,,,,,,,,,,,,,,,,,,,,,,,,
-2.25,,,,,,,,,,,,,,,,,,,,,,,,
-2.0,,,26139.590128638363,,,1934.5146000089921,1934.5146000089921,,,,,,11032.309310332213,,,,,4680442.307369104,,,,95123.62155440106,1285.9501745379118,
-1.75,,5723.194325011544,262502.3300869828,,,,947.4043690345525,,,,,,1756622.8636439864,,,,2830819.1052835337,481657.37963617314,,,,228329.37607881037,136153.4962070365,
-1.5,,1678936.9905959705,371787.37573611113,4576.939776894727,,1895.031017596013,947.6266485614606,,,,,,1277547.1238006428,,,1521.2466043897439,857791.4567120685,157535.4915131079,,,,231965.16639739124,219857.95792590402,
-1.25,,668929.8879855704,393169.430222666,,,2546.308257270724,986.3991547072487,,,,,,1280460.504899993,,,,573328.1985153807,122892.03749916516,,3511.6221547688983,,263587.9950005199,279705.70104330336,
-1.0,,534620.7850659587,366825.8367085289,4780.162068267533,,2546.183990353151,,,,,,,1033044.1324970433,,,28496.992425144243,444739.33284227643,149808.73226885125,,3562.7599694692835,2290.465247320899,224618.86911134026,210668.69654499216,19967.285592214834
-0.75,,566054.9382203715,433058.81224115076,14745.956084039472,,2546.151469758872,986.2249740558382,,,,,,1247140.557345244,,,30685.331442855473,304574.94863890857,49956.694591669366,,1729.9116786821178,10100.7218457415,169005.39625426393,287508.95424873754,90033.33836994365
-0.5,,486858.57823336776,753765.5503258717,8507.028409152368,,,4679.89053026,,,,,,1502065.7177682836,,1423.031303097694,16048.447177679001,302584.15420872904,71127.47869942151,,7792.443175801229,25026.30519328022,157796.78744373657,327539.1180856419,150827.50802372638
-0.25,,476647.15934200864,801662.9595548688,12031.081811385666,,,986.1290583596601,,,,,10638.806534719304,1380930.9907745318,2262.2180707996554,3695.1828332490295,34055.72771843453,316129.6839066725,203804.0914612487,,13820.745352848906,31810.39518222942,144485.92637199583,660259.9586989298,287445.2755110669
0.0,,543446.8033853071,883250.3790090755,14095.751513996554,,,,,,,,188490.84755706525,1232312.6022881959,2328.1155986312956,5820.041681502153,15831.105449131093,430903.890360632,218503.8953141775,3511.6229777450108,13658.15168404871,130791.82242039745,150376.41680668504,1147129.6785806278,336538.0074167241
