SST,1985-1990,2019-2023
-4.0,,
-3.75,,
-3.5,,
-3.25,,
-3.0,,
-2.75,,
-2.5,,
-2.25,,
-2.0,7129624.641752508,2848235.695909638
-1.75,1055418.0348862465,2508216.3199924724
-1.5,784042.5130639672,1354504.2720457166
-1.25,741040.9481167905,898703.5140839834
-1.0,909495.6329941768,875235.9655179279
-0.75,1100760.32535314,1114278.0961414445
-0.5,1246685.999148585,1255145.366934659
-0.25,1501227.85868782,1172209.2984767146
0.0,1399424.8240433969,1295612.91980353
0.25,1348798.271219667,1420674.8622953966
0.5,1370423.239359606,1772664.284199275
0.75,1414228.270199418,2064017.7328632511
1.0,1246445.899467241,2736727.8291261606
1.25,1325786.7680437304,2277808.148566954
1.5,1451949.2355787382,2031422.068426825
1.75,1623885.2356125154,1895757.7220123895
2.0,1692333.784784224,1676741.0637351945
2.25,1484187.6862818636,1537375.0628512762
2.5,1693922.5644901916,1414115.4971619137
2.75,1440203.5163292177,1411859.8588202484
3.0,1366613.185265597,1320143.8335802928
3.25,1349889.5803529657,1287031.447416626
3.5,1511104.639324218,1311291.667074129
3.75,1530897.69261197,1308863.084951073
4.0,1372069.438433908,1327907.7588754073
4.25,1431628.6473870054,1184919.5592486635
4.5,1518266.4589956477,1137050.0343450755
4.75,1444690.6490571797,1161190.5493061915
5.0,1216968.6619028524,1254252.2226768956
5.25,1183990.2547117323,1299344.3058313876
5.5,1140187.6648680568,1281450.6575895995
5.75,1103372.253660515,1243364.2460911795
6.0,1078347.3545196578,1196916.518373713
6.25,1127364.1433006376,1205394.9567467645
6.5,1177834.54405199,1150268.0860942975
6.75,1154894.6162047684,1186074.489755176
7.0,1204843.0524329543,1161366.1840768456
7.25,1265718.2939014807,1295437.983480528
7.5,1218750.5662266463,1331526.5153913721
7.75,1337504.4373622537,1189097.445791304
8.0,1460560.000004232,1162550.539468579
8.25,1686845.2576608881,1179882.3668136
8.5,1759422.312522173,1195645.276792556
8.75,1627355.0551512316,1048833.3207895905
9.0,1607512.2495972067,1079982.5972330123
9.25,1600611.6515570953,1190562.6413260996
9.5,1490782.1852315217,1189135.2724247426
9.75,1601055.6673928797,1329419.5749586597
10.0,1791589.6707901657,1466277.6419322193
10.25,1568465.498596847,1576734.463420689
10.5,1465484.3345250636,1532162.681906432
10.75,1482819.3778170198,1557182.6392277628
11.0,1497576.1069036126,1517171.746943131
11.25,1492736.4558005482,1397031.4966937006
11.5,1542454.1844118685,1375778.636865586
11.75,1522697.2435476482,1323497.277065903
12.0,1544081.1124676466,1362666.9473757446
12.25,1541437.4668483883,1277973.4857973754
12.5,1464783.4933188558,1275524.0154410899
12.75,1497260.3421641141,1297654.5352846086
13.0,1603813.7783211023,1475628.0251802504
13.25,1520554.7541300505,1486891.5257837474
13.5,1503802.6976614296,1456042.608856827
13.75,1523197.8881878108,1434137.093657881
14.0,1468687.462183252,1476897.4347421527
14.25,1339779.9520795792,1563892.5254447162
14.5,1334480.553712234,1497774.5169864595
